Badges, Badges
Badge Name, Badge Name
Badge Description, Badge Description
Image, Image
Status, Status
No. Of Sales, No. Of Sales
Badge Information, Badge Information
Review Points, Review Points
Rating, Rating
Please Select Option, Please Select Option
Points, Points
Rating Points Information, Rating Points Information
Assign Order Based Badge, Assign Order Based Badge
Assign Review Based Badge, Assign Review Based Badge
Save Badge, Save Badge
Order Based Badges, Order Based Badges
Edit Badges, Edit Badges
Add Order Based Badge, Add Order Based Badge
'Badges deleted successsfully.', 'Badges deleted successsfully.'
'Badges updated successsfully.', 'Badges updated successsfully.'
Edit Badges Points, Edit Badges Points
Add Review Based Badges Points, Add Review Based Badges Points
'Rating points deleted successsfully.', 'Rating points deleted successsfully.'
'Rating points successfully saved.', 'Rating points successfully saved.'
'Rating Points Badges', 'Rating Points Badges'
Review Based Badges, Review Based Badges
Add Review Based Badge, Add Review Based Badge
'Review Badges deleted successfully.', 'Review Badges deleted successfully.'
'Review Badges updated successsfully.', 'Review Badges updated successsfully.'
'Badge successfully saved.', 'Badge successfully saved.'
'VENDOR BADGES', 'VENDOR BADGES'
'Your Badges', 'Your Badges'
'You have not received any badges', 'You have not received any badges'
'Are you sure to delete selected rating points?', 'Are you sure to delete selected rating points?'
